province,area,buah,daging,ikan,rokok,sayur,telur_susu,gizi_total,rokok_pct_of_gizi,rokok_minus_sayur,rokok_vs_sayur_ratio,gizi_deficit_index,rokok_rank
Sulawesi Utara,rural,43969.0,22213.0,,91342.0,54041.0,29804.0,150027.0,60.883707599298795,37301.0,1.6902351917988194,-0.642475531518907,23
Sulawesi Utara,total,47831.0,27133.0,,90091.0,57693.0,35446.0,168103.0,53.5927377857623,32398.0,1.5615585946301977,-0.865924454163013,22
Sulawesi Utara,urban,50938.0,31090.0,,89084.0,60631.0,39986.0,182645.0,48.77439842317063,28453.0,1.4692813907077238,-1.0502559382156167,19
Sumatera Barat,rural,30184.0,24577.0,,118155.0,84127.0,27248.0,166136.0,71.11944431068522,34028.0,1.404483697267227,-0.4060852270322881,11
Sumatera Barat,total,37119.0,28625.0,,112394.0,85076.0,33763.0,184583.0,60.89076458828819,27318.0,1.3211011331045184,-0.642285175365233,9
Sumatera Barat,urban,43798.0,32525.0,,106844.0,85989.0,40039.0,202351.0,52.801320477783655,20855.0,1.2425310214097152,-0.8938920295009547,7
Sumatera Selatan,rural,42804.0,27842.0,,97611.0,66258.0,33258.0,170162.0,57.363571185105954,31353.0,1.4731956895771077,-0.7432666400303245,22
Sumatera Selatan,total,46320.0,32481.0,,91223.0,65577.0,40611.0,184989.0,49.31266183394688,25646.0,1.3910822391997195,-1.0278767416112164,21
Sumatera Selatan,urban,52061.0,40056.0,,80791.0,64467.0,52618.0,209202.0,38.618655653387634,16324.0,1.2532148230877813,-1.5894220890940822,29
Sumatera Utara,rural,25357.0,26890.0,,113486.0,67506.0,31033.0,150786.0,75.26295544679215,45980.0,1.681124640772672,-0.32867490263116156,12
Sumatera Utara,total,30923.0,29170.0,,99929.0,71480.0,38235.0,169808.0,58.84822858758126,28449.0,1.39799944040291,-0.6992864934103213,13
Sumatera Utara,urban,35079.0,30872.0,,89807.0,74447.0,43612.0,184010.0,48.8054997011032,15360.0,1.2063212755383024,-1.048949413742804,16
Yogyakarta,rural,32568.0,26758.0,,65789.0,56662.0,37237.0,153225.0,42.93620492739436,9127.0,1.161077971127034,-1.3290367690647373,35
Yogyakarta,total,44359.0,35913.0,,69868.0,55161.0,48617.0,184050.0,37.961423526215704,14707.0,1.266619531915665,-1.6342531631075743,36
Yogyakarta,urban,48196.0,38892.0,,71195.0,54673.0,52320.0,194081.0,36.68313745291914,16522.0,1.30219669672416,-1.7260481775405576,35
