province,year,area,poverty_rate,_inferred_from_2023
ACEH,2024,urban,8.37,
ACEH,2024,rural,14.99,
ACEH,2024,total,12.64,
SUMATERA UTARA,2024,urban,7.01,
SUMATERA UTARA,2024,rural,7.44,
SUMATERA UTARA,2024,total,7.19,
SUMATERA BARAT,2024,urban,4.16,
SUMATERA BARAT,2024,rural,6.79,
SUMATERA BARAT,2024,total,5.42,
RIAU,2024,urban,6.11,
RIAU,2024,rural,6.52,
RIAU,2024,total,6.36,
JAMBI,2024,urban,9.6,
JAMBI,2024,rural,6.08,
JAMBI,2024,total,7.26,
SUMATERA SELATAN,2024,urban,9.02,
SUMATERA SELATAN,2024,rural,11.43,
SUMATERA SELATAN,2024,total,10.51,
BENGKULU,2024,urban,12.32,
BENGKULU,2024,rural,12.63,
BENGKULU,2024,total,12.52,
LAMPUNG,2024,urban,7.91,
LAMPUNG,2024,rural,12.04,
LAMPUNG,2024,total,10.62,
KEP. BANGKA BELITUNG,2024,urban,4.09,
KEP. BANGKA BELITUNG,2024,rural,6.49,
KEP. BANGKA BELITUNG,2024,total,5.08,
KEP. RIAU,2024,urban,4.36,
KEP. RIAU,2024,rural,8.55,
KEP. RIAU,2024,total,4.78,
DKI JAKARTA,2024,urban,4.14,
DKI JAKARTA,2024,rural,,
DKI JAKARTA,2024,total,4.14,
JAWA BARAT,2024,urban,6.65,
JAWA BARAT,2024,rural,8.85,
JAWA BARAT,2024,total,7.08,
JAWA TENGAH,2024,urban,8.83,
JAWA TENGAH,2024,rural,10.45,
JAWA TENGAH,2024,total,9.58,
DI YOGYAKARTA,2024,urban,10.11,
DI YOGYAKARTA,2024,rural,11.31,
DI YOGYAKARTA,2024,total,10.4,
JAWA TIMUR,2024,urban,6.83,
JAWA TIMUR,2024,rural,13.19,
JAWA TIMUR,2024,total,9.56,
BANTEN,2024,urban,5.57,
BANTEN,2024,rural,6.2,
BANTEN,2024,total,5.7,
BALI,2024,urban,3.32,
BALI,2024,rural,5.11,
BALI,2024,total,3.8,
NUSA TENGGARA BARAT,2024,urban,11.64,
NUSA TENGGARA BARAT,2024,rural,12.21,
NUSA TENGGARA BARAT,2024,total,11.91,
NUSA TENGGARA TIMUR,2024,urban,8.11,
NUSA TENGGARA TIMUR,2024,rural,23.02,
NUSA TENGGARA TIMUR,2024,total,19.02,
KALIMANTAN BARAT,2024,urban,4.62,
KALIMANTAN BARAT,2024,rural,7.26,
KALIMANTAN BARAT,2024,total,6.25,
KALIMANTAN TENGAH,2024,urban,5.22,
KALIMANTAN TENGAH,2024,rural,5.29,
KALIMANTAN TENGAH,2024,total,5.26,
KALIMANTAN SELATAN,2024,urban,3.59,
KALIMANTAN SELATAN,2024,rural,4.46,
KALIMANTAN SELATAN,2024,total,4.02,
KALIMANTAN TIMUR,2024,urban,4.41,
KALIMANTAN TIMUR,2024,rural,8.0,
KALIMANTAN TIMUR,2024,total,5.51,
KALIMANTAN UTARA,2024,urban,5.07,
KALIMANTAN UTARA,2024,rural,5.96,
KALIMANTAN UTARA,2024,total,5.38,
SULAWESI UTARA,2024,urban,4.07,
SULAWESI UTARA,2024,rural,10.14,
SULAWESI UTARA,2024,total,6.7,
SULAWESI TENGAH,2024,urban,7.34,
SULAWESI TENGAH,2024,rural,12.9,
SULAWESI TENGAH,2024,total,11.04,
SULAWESI SELATAN,2024,urban,5.21,
SULAWESI SELATAN,2024,rural,10.11,
SULAWESI SELATAN,2024,total,7.77,
SULAWESI TENGGARA,2024,urban,6.78,
SULAWESI TENGGARA,2024,rural,13.07,
SULAWESI TENGGARA,2024,total,10.63,
GORONTALO,2024,urban,4.99,
GORONTALO,2024,rural,21.62,
GORONTALO,2024,total,13.87,
SULAWESI BARAT,2024,urban,8.33,
SULAWESI BARAT,2024,rural,11.32,
SULAWESI BARAT,2024,total,10.71,
MALUKU,2024,urban,4.59,
MALUKU,2024,rural,25.08,
MALUKU,2024,total,15.78,
MALUKU UTARA,2024,urban,6.27,
MALUKU UTARA,2024,rural,5.93,
MALUKU UTARA,2024,total,6.03,
PAPUA BARAT,2024,urban,9.5,
PAPUA BARAT,2024,rural,26.34,
PAPUA BARAT,2024,total,21.09,
PAPUA BARAT DAYA,2024,urban,8.03,
PAPUA BARAT DAYA,2024,rural,25.9,
PAPUA BARAT DAYA,2024,total,16.95,
PAPUA,2024,urban,5.93,
PAPUA,2024,rural,36.57,
PAPUA,2024,total,18.09,
PAPUA SELATAN,2024,urban,3.65,
PAPUA SELATAN,2024,rural,28.47,
PAPUA SELATAN,2024,total,19.35,
PAPUA TENGAH,2024,urban,5.27,
PAPUA TENGAH,2024,rural,34.86,
PAPUA TENGAH,2024,total,27.6,
PAPUA PEGUNUNGAN,2024,urban,12.11,
PAPUA PEGUNUNGAN,2024,rural,31.0,
PAPUA PEGUNUNGAN,2024,total,29.66,
INDONESIA,2024,urban,6.66,
INDONESIA,2024,rural,11.34,
INDONESIA,2024,total,8.57,
