city,group,sub_group,year,value
SINGARAJA,2020,Minuman yang Tidak Beralkohol,2020,109.96749999999996
KOTA DENPASAR,2020,Minuman yang Tidak Beralkohol,2020,105.13333333333333
KOTA MATARAM,2020,Minuman yang Tidak Beralkohol,2020,105.5475
KOTA BIMA,2020,Minuman yang Tidak Beralkohol,2020,101.98333333333332
WAINGAPU,2020,Minuman yang Tidak Beralkohol,2020,95.76916666666664
MAUMERE,2020,Minuman yang Tidak Beralkohol,2020,104.58333333333331
KOTA KUPANG,2020,Minuman yang Tidak Beralkohol,2020,103.44666666666666
SINTANG,2020,Minuman yang Tidak Beralkohol,2020,111.77416666666666
KOTA PONTIANAK,2020,Minuman yang Tidak Beralkohol,2020,107.94416666666665
KOTA SINGKAWANG,2020,Minuman yang Tidak Beralkohol,2020,102.99666666666666
SAMPIT,2020,Minuman yang Tidak Beralkohol,2020,107.03166666666664
KOTA PALANGKA RAYA,2020,Minuman yang Tidak Beralkohol,2020,105.11583333333334
KOTA BARU,2020,Minuman yang Tidak Beralkohol,2020,92.89833333333333
TANJUNG,2020,Minuman yang Tidak Beralkohol,2020,108.095
KOTA BANJARMASIN,2020,Minuman yang Tidak Beralkohol,2020,106.0175
KOTA BALIKPAPAN,2020,Minuman yang Tidak Beralkohol,2020,109.83499999999998
KOTA SAMARINDA,2020,Minuman yang Tidak Beralkohol,2020,107.45166666666668
TANJUNG SELOR,2020,Minuman yang Tidak Beralkohol,2020,105.65583333333336
KOTA TARAKAN,2020,Minuman yang Tidak Beralkohol,2020,106.64416666666666
KOTA MANADO,2020,Minuman yang Tidak Beralkohol,2020,116.68916666666668
KOTA KOTAMOBAGU,2020,Minuman yang Tidak Beralkohol,2020,104.14416666666666
LUWUK,2020,Minuman yang Tidak Beralkohol,2020,129.05916666666667
KOTA PALU,2020,Minuman yang Tidak Beralkohol,2020,106.92833333333336
BULUKUMBA,2020,Minuman yang Tidak Beralkohol,2020,110.74166666666667
WATAMPONE,2020,Minuman yang Tidak Beralkohol,2020,103.885
KOTA MAKASSAR,2020,Minuman yang Tidak Beralkohol,2020,113.55416666666667
KOTA PARE-PARE,2020,Minuman yang Tidak Beralkohol,2020,103.8075
KOTA PALOPO,2020,Minuman yang Tidak Beralkohol,2020,103.875
KOTA KENDARI,2020,Minuman yang Tidak Beralkohol,2020,111.23833333333332
KOTA BUA-BAU,2020,Minuman yang Tidak Beralkohol,2020,102.0075
KOTA GORONTALO,2020,Minuman yang Tidak Beralkohol,2020,104.14083333333332
MAMUJU,2020,Minuman yang Tidak Beralkohol,2020,103.70166666666664
KOTA AMBON,2020,Minuman yang Tidak Beralkohol,2020,107.65999999999998
KOTA TUAL,2020,Minuman yang Tidak Beralkohol,2020,103.85166666666665
KOTA TERNATE,2020,Minuman yang Tidak Beralkohol,2020,110.49083333333331
MANOKWARI,2020,Minuman yang Tidak Beralkohol,2020,110.3075
KOTA SORONG,2020,Minuman yang Tidak Beralkohol,2020,100.285
MERAUKE,2020,Minuman yang Tidak Beralkohol,2020,113.3925
TIMIKA,2020,Minuman yang Tidak Beralkohol,2020,82.09000000000002
KOTA JAYAPURA,2020,Minuman yang Tidak Beralkohol,2020,101.53833333333334
INDONESIA,2020,Minuman yang Tidak Beralkohol,2020,106.9225
KOTA SIBOLGA,2020,Minuman Beralkohol,2020,125.0
KOTA PEMATANG SIANTAR,2020,Minuman Beralkohol,2020,103.31
KOTA GUNUNGSITOLI,2020,Minuman Beralkohol,2020,100.0
KOTA BATAM,2020,Minuman Beralkohol,2020,97.83083333333332
KOTA TANJUNG PINANG,2020,Minuman Beralkohol,2020,105.44666666666666
SINGARAJA,2020,Minuman Beralkohol,2020,115.36583333333336
KOTA DENPASAR,2020,Minuman Beralkohol,2020,104.69416666666667
WAINGAPU,2020,Minuman Beralkohol,2020,101.57916666666668
MAUMERE,2020,Minuman Beralkohol,2020,100.51166666666666
KOTA KUPANG,2020,Minuman Beralkohol,2020,102.38416666666669
KOTA MANADO,2020,Minuman Beralkohol,2020,109.70916666666668
KOTA KOTAMOBAGU,2020,Minuman Beralkohol,2020,105.52666666666666
KOTA AMBON,2020,Minuman Beralkohol,2020,106.83083333333332
KOTA TUAL,2020,Minuman Beralkohol,2020,115.0
KOTA SORONG,2020,Minuman Beralkohol,2020,97.91
MERAUKE,2020,Minuman Beralkohol,2020,100.0
TIMIKA,2020,Minuman Beralkohol,2020,101.32583333333334
KOTA JAYAPURA,2020,Minuman Beralkohol,2020,100.615
INDONESIA,2020,Minuman Beralkohol,2020,102.62416666666664
KOTA MEULABOH,2020,Rokok dan Tembakau,2020,112.4225
KOTA BANDA ACEH,2020,Rokok dan Tembakau,2020,112.34999999999998
KOTA LHOKSEUMAWE,2020,Rokok dan Tembakau,2020,111.965
KOTA SIBOLGA,2020,Rokok dan Tembakau,2020,109.16500000000003
KOTA PEMATANG SIANTAR,2020,Rokok dan Tembakau,2020,111.02583333333332
KOTA MEDAN,2020,Rokok dan Tembakau,2020,112.3825
KOTA PADANGSIDIMPUAN,2020,Rokok dan Tembakau,2020,113.525
KOTA GUNUNGSITOLI,2020,Rokok dan Tembakau,2020,108.88166666666666
KOTA PADANG,2020,Rokok dan Tembakau,2020,110.5141666666667
KOTA BUKITTINGGI,2020,Rokok dan Tembakau,2020,113.52083333333331
TEMBILAHAN,2020,Rokok dan Tembakau,2020,113.7325
KOTA PEKANBARU,2020,Rokok dan Tembakau,2020,108.55916666666668
KOTA DUMAI,2020,Rokok dan Tembakau,2020,119.99833333333332
BUNGO,2020,Rokok dan Tembakau,2020,110.48666666666664
KOTA JAMBI,2020,Rokok dan Tembakau,2020,114.60083333333334
KOTA PALEMBANG,2020,Rokok dan Tembakau,2020,110.205
KOTA LUBUKLINGGAU,2020,Rokok dan Tembakau,2020,107.36166666666666
KOTA BENGKULU,2020,Rokok dan Tembakau,2020,113.32666666666668
KOTA BANDAR LAMPUNG,2020,Rokok dan Tembakau,2020,112.94083333333332
KOTA METRO,2020,Rokok dan Tembakau,2020,113.41666666666669
TANJUNG PANDAN,2020,Rokok dan Tembakau,2020,114.5725
KOTA PANGKAL PINANG,2020,Rokok dan Tembakau,2020,113.01
KOTA BATAM,2020,Rokok dan Tembakau,2020,116.58833333333332
KOTA TANJUNG PINANG,2020,Rokok dan Tembakau,2020,111.545
DKI JAKARTA,2020,Rokok dan Tembakau,2020,117.83666666666664
KOTA BOGOR,2020,Rokok dan Tembakau,2020,110.69000000000004
KOTA SUKABUMI,2020,Rokok dan Tembakau,2020,116.45666666666664
KOTA BANDUNG,2020,Rokok dan Tembakau,2020,112.97499999999998
KOTA CIREBON,2020,Rokok dan Tembakau,2020,108.38833333333334
KOTA BEKASI,2020,Rokok dan Tembakau,2020,112.82916666666664
KOTA DEPOK,2020,Rokok dan Tembakau,2020,113.69249999999998
KOTA TASIKMALAYA,2020,Rokok dan Tembakau,2020,110.6375
CILACAP,2020,Rokok dan Tembakau,2020,110.70916666666668
PURWOKERTO,2020,Rokok dan Tembakau,2020,112.41416666666667
KUDUS,2020,Rokok dan Tembakau,2020,109.37583333333332
KOTA SURAKARTA,2020,Rokok dan Tembakau,2020,112.4375
KOTA SEMARANG,2020,Rokok dan Tembakau,2020,110.69333333333334
KOTA TEGAL,2020,Rokok dan Tembakau,2020,110.355
KOTA YOGYAKARTA,2020,Rokok dan Tembakau,2020,112.50083333333332
JEMBER,2020,Rokok dan Tembakau,2020,116.60333333333335
BANYUWANGI,2020,Rokok dan Tembakau,2020,113.25999999999998
SUMENEP,2020,Rokok dan Tembakau,2020,108.91166666666668
KOTA KEDIRI,2020,Rokok dan Tembakau,2020,113.09916666666668
KOTA MALANG,2020,Rokok dan Tembakau,2020,114.40749999999998
KOTA PROBOLINGGO,2020,Rokok dan Tembakau,2020,106.05
KOTA MADIUN,2020,Rokok dan Tembakau,2020,115.56583333333332
KOTA SURABAYA,2020,Rokok dan Tembakau,2020,112.05333333333336
KOTA TANGERANG,2020,Rokok dan Tembakau,2020,108.54916666666666
KOTA CILEGON,2020,Rokok dan Tembakau,2020,114.98166666666664
KOTA SERANG,2020,Rokok dan Tembakau,2020,112.47916666666669
SINGARAJA,2020,Rokok dan Tembakau,2020,112.1675
KOTA DENPASAR,2020,Rokok dan Tembakau,2020,111.57416666666666
KOTA MATARAM,2020,Rokok dan Tembakau,2020,110.23499999999996
KOTA BIMA,2020,Rokok dan Tembakau,2020,113.83083333333332
WAINGAPU,2020,Rokok dan Tembakau,2020,102.95333333333332
MAUMERE,2020,Rokok dan Tembakau,2020,114.83749999999998
KOTA KUPANG,2020,Rokok dan Tembakau,2020,113.95083333333332
SINTANG,2020,Rokok dan Tembakau,2020,107.10833333333336
KOTA PONTIANAK,2020,Rokok dan Tembakau,2020,112.36166666666666
KOTA SINGKAWANG,2020,Rokok dan Tembakau,2020,112.31416666666668
SAMPIT,2020,Rokok dan Tembakau,2020,113.49833333333332
KOTA PALANGKA RAYA,2020,Rokok dan Tembakau,2020,123.6733333333333
KOTA BARU,2020,Rokok dan Tembakau,2020,111.16
TANJUNG,2020,Rokok dan Tembakau,2020,111.40749999999998
KOTA BANJARMASIN,2020,Rokok dan Tembakau,2020,116.38416666666666
KOTA BALIKPAPAN,2020,Rokok dan Tembakau,2020,112.83833333333337
KOTA SAMARINDA,2020,Rokok dan Tembakau,2020,107.44666666666666
TANJUNG SELOR,2020,Rokok dan Tembakau,2020,114.82416666666666
KOTA TARAKAN,2020,Rokok dan Tembakau,2020,109.78416666666668
KOTA MANADO,2020,Rokok dan Tembakau,2020,109.63
KOTA KOTAMOBAGU,2020,Rokok dan Tembakau,2020,113.57666666666668
LUWUK,2020,Rokok dan Tembakau,2020,106.50416666666668
KOTA PALU,2020,Rokok dan Tembakau,2020,112.2875
BULUKUMBA,2020,Rokok dan Tembakau,2020,107.805
WATAMPONE,2020,Rokok dan Tembakau,2020,106.83333333333331
KOTA MAKASSAR,2020,Rokok dan Tembakau,2020,108.045
KOTA PARE-PARE,2020,Rokok dan Tembakau,2020,113.25833333333333
KOTA PALOPO,2020,Rokok dan Tembakau,2020,111.29416666666668
KOTA KENDARI,2020,Rokok dan Tembakau,2020,111.50833333333334
KOTA BUA-BAU,2020,Rokok dan Tembakau,2020,111.765
KOTA GORONTALO,2020,Rokok dan Tembakau,2020,113.90500000000002
MAMUJU,2020,Rokok dan Tembakau,2020,112.15416666666668
KOTA AMBON,2020,Rokok dan Tembakau,2020,115.28499999999998
KOTA TUAL,2020,Rokok dan Tembakau,2020,116.88583333333332
KOTA TERNATE,2020,Rokok dan Tembakau,2020,111.29083333333334
MANOKWARI,2020,Rokok dan Tembakau,2020,118.16083333333331
KOTA SORONG,2020,Rokok dan Tembakau,2020,111.95749999999998
MERAUKE,2020,Rokok dan Tembakau,2020,106.81416666666668
TIMIKA,2020,Rokok dan Tembakau,2020,113.75249999999998
