Kabupaten/Kota,,,,,,
,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Rokok dan Tembakau Per Kabupaten/kota (Satuan Komoditas),,,,,
,ROKOK DAN TEMBAKAU,Rokok kretek filter,Rokok kretek tanpa filter,Rokok putih,Tembakau,Rokok dan tembakau Lainnya
Banggai Kepulauan,0,9.32,2.843,1.362,0.12,0.126
Banggai,0,11.331,1.104,2.67,0.105,-
Morowali,0,31.331,0.65,2.073,0.002,-
Poso,0,14.725,1.971,0.451,0.008,0.005
Donggala,0,13.453,2.038,1.574,0.02,0.17
Toli-Toli,0,13.741,3.665,-,0.015,0.028
Buol,0,12.921,4.732,0.595,0.008,0.025
Parigi Moutong,0,16.984,2.599,1.043,0.061,-
Tojo Una-Una,0,17.385,4.89,0.283,0.058,0.137
Sigi,0,16.31,0.732,1.073,0.014,-
Banggai Laut,0,8.913,1.521,1.852,0.008,0.009
Morowali Utara,0,21.96,1.723,2.462,0.026,-
Kota Palu,0,9.519,0.506,0.401,0.009,0.077
Kepulauan Selayar,0,17.016,0.481,0.513,0.141,0.014
Bulukumba,0,13.934,1.305,2.014,0.077,0.001
Bantaeng,0,16.755,2.193,1.911,0.033,0.001
Jeneponto,0,17.709,0.671,0.394,0.048,0
Takalar,0,17.662,0.019,0.022,0.012,-
Gowa,0,17.354,1.757,0.718,0.087,0.013
Sinjai,0,12.291,1.036,1.436,0.087,0.102
Maros,0,18.492,0.874,0.493,0.005,0.035
Pangkajene dan Kepulauan,0,13.73,1.152,0.556,0.004,0.001
Barru,0,10.42,3.196,1.375,0.001,-
Bone,0,18.594,0.875,0.272,0.09,0.001
Soppeng,0,21.721,0.076,0.501,-,0.045
Wajo,0,22.18,1.395,-,0.005,0.053
Sidenreng Rappang,0,20.027,0.76,0.536,0.005,-
Pinrang,0,16.435,0.077,1.912,-,0
Enrekang,0,17.77,1.02,0.353,0.008,0.002
Luwu,0,17.487,0.371,0.716,0.002,0.003
Tana Toraja,0,10.039,2.762,1.467,0.001,0.021
Luwu Utara,0,19.767,2.701,0.318,0.012,0.003
Luwu Timur,0,21.346,1.406,0.43,0.004,0.012
Toraja Utara,0,10.453,0.909,0.162,0.001,0.004
Kota Makassar,0,10.075,0.439,0.399,-,0
Kota Parepare,0,11.892,0.524,1.059,0.001,0.122
Kota Palopo,0,15.933,0.703,0.818,0.006,-
Buton,0,9.695,0.77,1.968,0.014,-
Muna,0,11.001,0.904,0.968,0.013,0
Konawe,0,20.889,0.808,1.22,0.009,-
Kolaka,0,15.588,0.52,3.041,0.009,0.066
Konawe Selatan,0,18.499,1.036,1.306,0.018,0.013
Bombana,0,19.963,0.121,4.563,0.066,0.046
Wakatobi,0,13.627,1.778,0.831,-,-
Kolaka Utara,0,26.208,0.451,0.001,0,0.002
Buton Utara,0,17.692,1.285,2.368,0.004,0.001
Konawe Utara,0,27.8,0.58,0.139,0.001,0.076
Kolaka Timur,0,21.766,1.077,0.011,0.015,0.017
Konawe Kepulauan,0,17.171,1.848,2.597,0.015,-
Muna Barat,0,14.493,1.62,0.154,0.001,0.011
Buton Tengah,0,9.032,0.057,1.76,0.002,-
Buton Selatan,0,7.22,0.365,0.667,-,0.317
Kota Kendari,0,8.834,1.1,0.802,-,0.136
Kota Baubau,0,8.935,0.354,1.006,-,0.014
Boalemo,0,12.26,0.618,1.151,0.104,0.162
Gorontalo,0,11.796,0.241,1.454,0.122,0.389
Pohuwato,0,14.927,0.906,0.21,0.056,0.203
Bone Bolango,0,8.672,0.151,1.976,0.151,0.033
Gorontalo Utara,0,11.878,0.292,1.156,0.056,0.189
Kota Gorontalo,0,11.453,0.937,1.219,0.008,0.005
Majene,0,13.173,0.071,0.273,0.016,-
