province,commodity,area,value
Aceh,Padi-padian/Cereals,urban,88459.0
Aceh,Umbi-umbian/Tubers,urban,5949.0
Aceh,Ikan/udang/cumi/kerang/Fish/shrimp/common squid/shells,urban,99752.0
Aceh,Daging/Meat,urban,26847.0
Aceh,Telur dan susu/Eggs and milk,urban,33705.0
Aceh,Sayur-sayuran/Vegetables,urban,63233.0
Aceh,Kacang-kacangan/Legumes,urban,8521.0
Aceh,Buah-buahan/Fruits,urban,39621.0
Aceh,Minyak dan kelapa/Oil and coconut,urban,19947.0
Aceh,Bahan minuman/Beverages stuffs,urban,16340.0
Aceh,Bumbu-bumbuan/Spices,urban,14625.0
Aceh,Konsumsi lainnya/Miscellaneous food items,urban,9751.0
Aceh,Makanan dan minuman jadi/Prepared food and beverages,urban,271465.0
Aceh,Rokok/Cigarettes,urban,91580.0
Aceh,Jumlah makanan/Total food,urban,789794.0
Aceh,Perumahan dan fasilitas rumah tangga/Housing and household facilities,urban,371463.0
Aceh,Aneka barang dan jasa/Goods and services,urban,172496.0
Aceh,"Pakaian, alas kaki, dan tutup kepala/Clothing, footwear, and headgear",urban,60993.0
Aceh,Barang tahan lama/Durable goods,urban,51462.0
Aceh,"Pajak, pungutan, dan asuransi/Taxes and insurance",urban,69527.0
Aceh,Keperluan pesta dan upacara/kenduri/Parties and ceremonies,urban,15711.0
Aceh,Jumlah bukan makanan/Total non-food,urban,741652.0
Aceh,Jumlah/Total,urban,1531447.0
Aceh,Padi-padian/Cereals,rural,101408.0
Aceh,Umbi-umbian/Tubers,rural,6031.0
Aceh,Ikan/udang/cumi/kerang/Fish/shrimp/common squid/shells,rural,86390.0
Aceh,Daging/Meat,rural,19112.0
Aceh,Telur dan susu/Eggs and milk,rural,22740.0
Aceh,Sayur-sayuran/Vegetables,rural,59411.0
Aceh,Kacang-kacangan/Legumes,rural,7707.0
Aceh,Buah-buahan/Fruits,rural,30918.0
Aceh,Minyak dan kelapa/Oil and coconut,rural,19338.0
Aceh,Bahan minuman/Beverages stuffs,rural,17967.0
Aceh,Bumbu-bumbuan/Spices,rural,14501.0
Aceh,Konsumsi lainnya/Miscellaneous food items,rural,8205.0
Aceh,Makanan dan minuman jadi/Prepared food and beverages,rural,191203.0
Aceh,Rokok/Cigarettes,rural,101026.0
Aceh,Jumlah makanan/Total food,rural,685956.0
Aceh,Perumahan dan fasilitas rumah tangga/Housing and household facilities,rural,207591.0
Aceh,Aneka barang dan jasa/Goods and services,rural,95351.0
Aceh,"Pakaian, alas kaki, dan tutup kepala/Clothing, footwear, and headgear",rural,44756.0
